,催化剂组合编号,催化剂组合,温度,乙醇转化率(%),乙烯选择性（%）,C4烯烃选择性(%),乙醛选择性(%),碳数为4-12脂肪醇         选择性(%),甲基苯甲醛和甲基苯甲醇选择性(%),其他生成物的选择性(%),Unnamed: 10
0,A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,2.06716944958221,1.17,34.05,2.41,52.59,0.0,9.78,
1,,,275,5.8517209865374,1.63,37.43,1.42,53.21,0.0,6.31,
2,,,300,14.9688914921879,3.02,46.94,4.71,35.16,1.0,9.17,
3,,,325,19.6813590966625,7.97,49.7,14.69,15.16,2.13,10.35,
4,,,350,36.801016971268,12.46,47.21,18.66,9.22,1.69,10.76,
5,A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,4.60299723489029,0.61,18.07,0.94,72.99,0.0,7.39,
6,,,275,17.1955389078373,0.51,17.28,1.43,72.62,0.0,8.16,
7,,,300,38.9222453049932,0.85,19.6,2.21,67.5,0.0,9.84,
8,,,325,56.3824602331247,1.43,30.62,3.79,51.21,0.0,12.95,
9,,,350,67.8792957456246,2.76,39.1,4.2,36.92,1.87,15.15,
10,A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,250,9.6693729570379,0.13,5.5,1.23,85.09,3.97,4.08,
11,,,275,19.2369353731673,0.33,8.04,1.71,82.07,2.88,4.97,
12,,,300,29.2502335391358,0.71,17.01,3.63,66.9,3.18,8.57,
13,,,325,37.5791851341654,1.83,28.72,5.72,49.77,3.44,10.52,
14,,,350,48.9370446484212,2.85,36.85,7.23,38.29,3.51,11.27,
15,,,400,83.7133815760754,6.76,53.43,8.95,14.37,3.38,13.11,
16,,,450,86.4097027402944,14.84,49.9,8.39,12.41,2.09,12.37,
17,A4,200mg 0.5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,4.0193913236899,0.27,9.62,1.49,79.51,6.53,2.58,
18,,,275,12.0977578656973,0.36,8.62,1.66,81.44,5.18,2.74,
19,,,300,29.4765641102885,0.54,10.72,2.41,76.32,5.88,4.13,
20,,,325,43.3256219763485,1.02,18.89,4.42,59.65,7.64,8.38,
21,,,350,60.4684283526454,2.23,27.25,6.8,45.0,8.73,9.99,
22,,,400,88.4393444439815,3.67,41.02,10.82,16.47,10.51,17.51,
23,A5,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度0.3ml/min,250,14.7871833611187,0.14,1.96,3.27,88.42,3.36,2.85,
24,,,275,12.4240108083889,0.19,6.65,11.27,70.05,5.77,6.07,
25,,,300,20.8085764699292,0.74,10.12,13.18,62.45,5.66,7.85,
26,,,325,28.3488858758218,1.14,13.86,15.83,56.28,2.92,9.97,
27,,,350,36.8115789475551,3.11,18.75,16.16,48.0,4.36,9.62,
28,,,400,76.0198321376534,6.38,38.23,9.64,25.72,3.71,16.32,
29,A6,200mg 5wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,13.3893967283351,0.2,3.3,11.59,80.23,1.04,3.64,
30,,,275,12.780990768999,0.38,7.1,26.67,55.7,2.02,8.13,
31,,,300,25.479216201846,1.46,7.18,28.51,51.07,2.12,9.66,
32,,,350,55.7550272411716,14.49,10.65,42.75,19.83,3.74,8.54,
33,,,400,83.3476161758825,6.18,37.33,16.08,19.48,7.61,13.32,
34,A7,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.3ml/min,250,19.6562914186116,0.18,5.75,3.69,87.26,0.0,3.12,
35,,,275,29.044956254083,0.31,6.56,3.27,84.43,0.0,5.43,
36,,,300,39.9843661922415,0.57,8.84,3.98,79.99,0.0,6.62,
37,,,350,58.6049967786163,2.28,18.64,8.23,45.04,3.24,22.57,
38,,,400,76.0274161977392,8.31,33.25,5.79,24.57,6.76,21.32,
39,A8,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度0.9ml/min,250,6.26573693340327,0.14,5.63,1.59,86.5,0.0,6.14,
40,,,275,8.76156996024858,0.2,8.52,4.31,82.26,0.0,4.71,
41,,,300,13.1790478809351,0.52,13.82,4.6,72.79,0.0,8.27,
42,,,350,31.7206628928351,1.45,25.89,4.15,48.52,2.25,17.74,
43,,,400,56.1163898081809,6.4,41.42,4.32,24.15,0.0,23.71,
44,A9,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,250,2.05316160924955,0.16,5.4,4.99,81.93,0.0,7.52,
45,,,275,3.00257162012393,0.33,9.68,4.66,75.09,0.0,10.24,
46,,,300,4.72920063011057,0.53,16.1,5.08,61.02,1.57,15.7,
47,,,350,13.3927447682896,2.84,31.04,3.75,39.29,2.09,20.99,
48,,,400,40.7971628999023,6.36,42.04,4.71,27.07,0.0,19.82,
49,A10,50mg 5wt%Co/SiO2-  50mg HAP-乙醇浓度2.1ml/min,250,0.319963965933778,1.06,2.19,12.49,83.06,0.0,1.2,
50,,,275,1.01545342802349,0.58,1.65,4.67,92.77,0.0,0.33,
51,,,300,1.68467573268495,0.8,2.17,5.8,90.32,0.0,0.91,
52,,,350,9.01884092947588,0.81,3.3,4.3,88.98,0.7,1.91,
53,,,400,28.5943907570513,1.93,10.29,3.68,79.2,0.0,4.9,
54,A11,50mg 1wt%Co/SiO2-  90mg石英砂-乙醇浓度1.68ml/min，无HAP,250,0.227691554459886,2.14,0.1,97.76,0.0,0.0,0.0,
55,,,275,0.516312042222788,2.83,1.0,94.75,0.0,0.0,1.42,
56,,,300,1.60755277655185,3.24,1.82,93.76,0.0,0.0,1.18,
57,,,350,8.20758112698906,7.61,4.35,85.83,0.0,0.0,2.21,
58,,,400,32.5934981167189,13.35,7.93,75.03,0.0,0.0,3.69,
59,A12,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,250,1.44170934251802,0.14,6.17,3.48,81.43,7.45,1.33,
60,,,275,3.47363039678394,0.18,8.11,4.2,80.0,5.3,2.21,
61,,,300,6.914387607182,0.43,11.22,8.83,71.28,5.34,2.9,
62,,,350,19.9122976584978,1.17,22.26,13.48,46.5,5.66,10.93,
63,,,400,44.534966735128,3.63,36.3,16.25,25.79,5.32,12.71,
64,A13,67mg 1wt%Co/SiO2- 33mg HAP-乙醇浓度1.68ml/min     ,250,1.34694843685351,0.31,5.19,5.39,79.6,6.87,2.64,
65,,,275,2.30545598480325,0.66,7.62,7.67,74.74,5.91,3.4,
66,,,300,4.06672930913986,1.2,12.74,19.65,55.4,4.87,6.14,
67,,,350,14.6387758329042,2.53,23.46,26.42,30.99,3.52,13.08,
68,,,400,40.047154305474,5.19,27.91,24.73,22.05,3.85,16.27,
69,A14,33mg 1wt%Co/SiO2- 67mg HAP-乙醇浓度1.68ml/min    ,250,2.49268861247491,0.14,1.89,2.63,90.74,3.18,1.42,
70,,,275,5.33483516226759,0.14,2.55,2.8,89.7,2.85,1.96,
71,,,300,10.1520362574393,0.25,3.61,4.07,85.12,3.43,3.52,
72,,,350,24.0318985551102,1.04,10.83,6.25,70.1,4.59,7.19,
73,,,400,53.6152568624797,2.92,22.3,7.22,49.31,7.48,10.77,
74,B1,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度1.68ml/min,250,1.40818182615844,0.1,6.32,5.7,83.4,0.0,4.48,
75,,,275,3.41791391326378,0.19,8.25,4.03,81.35,0.0,6.18,
76,,,300,6.72372576152924,0.45,12.28,4.11,73.45,0.0,9.71,
77,,,350,19.3092626251229,1.22,25.97,4.4,48.32,2.44,17.65,
78,,,400,43.595444389466,3.77,41.08,4.13,26.79,1.95,22.28,
79,B2,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度1.68ml/min  ,250,2.76302415733759,0.2,3.26,2.78,89.53,0.0,4.23,
80,,,275,4.40266107173201,0.32,4.97,3.92,83.2,0.0,7.59,
81,,,300,6.22356275018717,0.72,9.32,5.21,71.37,3.09,10.29,
82,,,350,16.1870321046694,2.11,22.88,6.07,47.39,4.74,16.81,
83,,,400,45.1352390825493,8.1,38.7,7.12,24.22,4.34,17.52,
84,B3,10mg 1wt%Co/SiO2- 10mg HAP-乙醇浓度1.68ml/min,250,0.394774301814516,0.31,2.85,18.98,76.81,0.0,1.05,
85,,,275,0.615197832146397,0.42,5.35,19.79,73.56,0.0,0.88,
86,,,300,1.14894845380593,0.74,7.61,19.86,70.07,0.0,1.72,
87,,,325,3.28521284393757,1.16,7.74,16.61,67.57,3.77,3.15,
88,,,350,6.01029955582901,1.81,13.81,20.27,53.38,4.64,6.09,
89,,,400,21.1001303126785,3.79,21.21,19.72,39.51,4.88,10.89,
90,B4,25mg 1wt%Co/SiO2- 25mg HAP-乙醇浓度1.68ml/min,250,0.543983713140717,0.1,6.62,6.91,82.18,4.19,0.0,
91,,,275,1.11315662843161,0.32,6.62,2.93,83.06,1.93,5.14,
92,,,300,3.01498497672866,0.31,5.05,8.47,78.11,4.04,4.02,
93,,,325,6.05517768940117,0.69,8.33,12.29,70.48,3.89,4.32,
94,,,350,9.64336126696237,0.76,13.1,14.26,59.75,3.89,8.24,
95,,,400,33.4895955281135,2.68,21.45,15.15,43.12,5.21,12.39,
96,B5,50mg 1wt%Co/SiO2- 50mg HAP-乙醇浓度2.1ml/min,250,2.12124689485722,0.18,4.3,3.98,84.81,4.76,1.97,
97,,,275,3.83357052176252,0.35,5.06,7.67,78.13,4.22,4.57,
98,,,300,5.81212036583176,0.47,7.92,14.04,66.89,4.41,6.27,
99,,,325,9.7842849683418,0.77,11.69,14.62,59.29,5.28,8.35,
100,,,350,15.8632612859104,1.57,15.34,15.03,53.41,4.14,10.51,
101,,,400,44.9818815507988,3.93,25.83,13.82,36.87,6.16,13.39,
102,B6,75mg 1wt%Co/SiO2- 75mg HAP-乙醇浓度1.68ml/min,250,2.7681694785164,0.23,4.5,1.97,85.16,4.87,3.27,
103,,,275,7.51025282890253,0.15,4.79,2.16,86.83,3.82,2.25,
104,,,300,12.6192375239931,0.5,8.77,4.81,74.9,5.05,5.97,
105,,,325,15.8589641330784,1.04,16.06,7.44,57.98,6.75,10.73,
106,,,350,27.0309632091066,0.99,22.41,9.95,48.26,4.44,13.95,
107,,,400,63.2452382390403,4.11,30.48,11.12,34.9,4.71,14.68,
108,B7,100mg 1wt%Co/SiO2- 100mg HAP-乙醇浓度0.9ml/min,250,4.4,0.13,4.08,2.04,86.01,4.79,2.95,
109,,,275,7.9,0.15,6.62,3.49,79.79,5.67,4.28,
110,,,300,11.7,0.2,12.86,6.47,68.02,6.71,5.74,
111,,,325,17.8,1.42,18.45,7.94,59.12,7.14,5.93,
112,,,350,30.2,1.53,25.05,10.3,49.36,6.3,7.46,
113,,,400,69.4,2.51,38.17,13.96,26.64,4.71,14.01,
